Saved path: bookstore, cafe, tech_shop, dentist, pizzeria, florist, music_store, bank, pet_store, gym, jewelry_store, salon, noodle_house, toy_store, burger_joint : 71065
Saved path: jewelry_store, bike_shop, bakery, gelateria, florist, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 53484
Saved path: jewelry_store, bike_shop, bakery, pharmacy, bank, craft_shop, gym, hardware_store, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 62268
Saved path: burger_joint, toy_store, salon, clothing_store, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, jewelry_store, hardware_store, gym : 66248
Saved path: tech_shop, cafe, burger_joint, bookstore, dentist, craft_shop, florist, gelateria, music_store, party_store, bakery, toy_store, salon, noodle_house, clothing_store : 52579
Saved path: clothing_store, salon, barber_shop, jewelry_store, bike_shop, music_store, bank, gelateria, florist, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store : 68354
Saved path: hardware_store, salon, toy_store, tech_shop, cafe, bookstore, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 64724
Saved path: pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, bookstore, clothing_store, dentist, pizzeria : 66893
Saved path: tech_shop, clothing_store, salon, toy_store, burger_joint, bookstore, gym, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria : 54389
Saved path: noodle_house, toy_store, burger_joint, hardware_store, party_store, jewelry_store, music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store : 63321
Saved path: cafe, bookstore, clothing_store, toy_store, gym, hardware_store, bike_shop, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, dentist : 61715
Saved path: burger_joint, bookstore, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, gym, hardware_store : 63396
Saved path: bookstore, burger_joint, gym, hardware_store, bike_shop, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house : 63557
Saved path: grocery_store, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, burger_joint, noodle_house : 56778
Saved path: bookstore, grocery_store, noodle_house, toy_store, gym, bike_shop, party_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist : 64494
Saved path: music_store, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy : 58781
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, music_store, jewelry_store, barber_shop, salon : 69032
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, florist, pharmacy, party_store : 51960
Saved path: music_store, florist, pet_store, pizzeria, tech_shop, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, pharmacy : 58733
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, pet_store : 67453
Saved path: bike_shop, party_store, pharmacy, hardware_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop : 51275
Saved path: gym, craft_shop, florist, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, cafe : 60827
Saved path: pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, bakery, bike_shop, jewelry_store, gelateria, music_store, florist, craft_shop : 55511
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bike_shop, party_store, burger_joint, toy_store : 48853
Saved path: bakery, party_store, bike_shop, salon, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, bank, pharmacy : 66610
Saved path: dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, hardware_store, burger_joint, bookstore, pet_store, gelateria, florist : 54246
Saved path: music_store, bank, gelateria, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria : 62312
Saved path: pizzeria, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, hardware_store, gym, florist, music_store, gelateria, pet_store, craft_shop : 60379
Saved path: gelateria, bank, pet_store, gym, hardware_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, toy_store, burger_joint, tech_shop, bookstore, florist : 68074
Saved path: tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, bike_shop, bakery, barber_shop, noodle_house, burger_joint, cafe, grocery_store : 60823
Saved path: gym, burger_joint, bookstore, clothing_store, grocery_store, dentist, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, hardware_store : 56048
Saved path: pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, hardware_store, burger_joint, bookstore, cafe, tech_shop, pizzeria : 61132
Saved path: noodle_house, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, bakery, jewelry_store, bike_shop, barber_shop : 72113
Saved path: craft_shop, pizzeria, tech_shop, clothing_store, toy_store, burger_joint, bookstore, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank : 64555
Saved path: burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, bank, gelateria, pharmacy, bakery, party_store, gym, hardware_store, salon, toy_store : 64689
Saved path: burger_joint, bookstore, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, gym, toy_store, noodle_house : 62093
Saved path: pharmacy, bakery, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, florist : 46377
Saved path: pizzeria, dentist, grocery_store, burger_joint, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist : 65614
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, gym, craft_shop, pet_store, bank, music_store, bakery : 64223
Saved path: jewelry_store, party_store, pharmacy, bank, florist, pet_store, gym, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, barber_shop : 71492
Saved path: salon, toy_store, gym, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store : 61152
Saved path: gym, music_store, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, pizzeria, craft_shop : 66902
Saved path: pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, hardware_store, gym, bank, pet_store, craft_shop : 71280
Saved path: hardware_store, toy_store, noodle_house, clothing_store, cafe, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 66370
Saved path: pharmacy, jewelry_store, bike_shop, gym, burger_joint, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria : 66311
Saved path: noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint, bookstore, cafe, pizzeria, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop : 57863
Saved path: burger_joint, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, party_store, music_store, bank, pet_store, pizzeria, dentist, cafe, bookstore : 66290
Saved path: hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, gelateria, bank, bakery, party_store, jewelry_store, bike_shop : 60859
Saved path: craft_shop, pizzeria, dentist, grocery_store, cafe, burger_joint, toy_store, salon, hardware_store, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store : 51156
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, hardware_store, bookstore, tech_shop, grocery_store : 57638
