Saved path: bank, music_store, pharmacy, party_store, bike_shop, hardware_store, salon, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, gelateria : 68735
Saved path: burger_joint, hardware_store, party_store, barber_shop, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store : 61504
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, toy_store, bakery, party_store, pharmacy, gelateria : 52771
Saved path: pharmacy, bank, gelateria, craft_shop, dentist, grocery_store, cafe, burger_joint, gym, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 66272
Saved path: gelateria, pizzeria, tech_shop, cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, music_store, bank : 64745
Saved path: music_store, gelateria, pet_store, pizzeria, tech_shop, bookstore, gym, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 66545
Saved path: jewelry_store, party_store, bakery, gelateria, bank, music_store, florist, dentist, cafe, bookstore, clothing_store, toy_store, hardware_store, salon, barber_shop : 66766
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria : 64985
Saved path: salon, toy_store, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, florist, gym, bookstore, clothing_store, noodle_house : 62367
Saved path: barber_shop, toy_store, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, gym, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store : 59868
Saved path: burger_joint, gym, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, dentist, cafe, bookstore : 53959
Saved path: pizzeria, dentist, cafe, bookstore, gym, craft_shop, pet_store, gelateria, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop : 60503
Saved path: bank, music_store, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria : 66287
Saved path: tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bakery, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore : 54234
Saved path: pizzeria, pet_store, florist, gelateria, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, hardware_store, cafe, grocery_store, tech_shop, dentist : 64754
Saved path: bookstore, craft_shop, pet_store, florist, music_store, bank, bakery, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint : 53455
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, bike_shop, gelateria, bank, music_store, florist, pet_store : 54584
Saved path: gym, hardware_store, bakery, jewelry_store, music_store, bank, gelateria, pet_store, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint : 65494
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, party_store, barber_shop, toy_store, hardware_store, gym, burger_joint, cafe : 66559
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym, craft_shop, music_store, gelateria, pharmacy, bakery : 50880
Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, craft_shop : 65505
Saved path: gelateria, music_store, bike_shop, party_store, bakery, barber_shop, salon, hardware_store, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, pet_store : 60754
Saved path: burger_joint, cafe, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, grocery_store, bookstore : 64567
Saved path: music_store, bakery, party_store, bike_shop, hardware_store, salon, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, pet_store, gelateria, bank : 63295
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, craft_shop, florist, gelateria, jewelry_store, bakery, barber_shop, salon, clothing_store : 59778
Saved path: bookstore, cafe, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, gym, hardware_store : 57905
Saved path: cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, bakery, party_store, pharmacy, music_store, bank, gelateria, pizzeria, dentist : 61485
Saved path: noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, gym, bookstore, cafe, pizzeria, tech_shop, clothing_store : 68294
Saved path: bike_shop, jewelry_store, bakery, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, barber_shop : 70495
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, gym, burger_joint, toy_store, noodle_house : 60411
Saved path: barber_shop, toy_store, clothing_store, grocery_store, cafe, gym, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop : 64283
