Saved path: party_store, bakery, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, gelateria, music_store, bike_shop : 54476
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery : 62017
Saved path: dentist, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, barber_shop, toy_store, noodle_house, grocery_store : 66738
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, florist, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store : 53630
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, barber_shop, bakery, party_store : 58614
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, gym, burger_joint, cafe, tech_shop : 45844
Saved path: cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, hardware_store, bike_shop, bakery, music_store, bank, gelateria, florist, pet_store, pizzeria : 57230
Saved path: florist, gelateria, bank, music_store, bakery, party_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, hardware_store, gym : 58649
Saved path: florist, bank, gelateria, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop : 66847
Saved path: noodle_house, clothing_store, tech_shop, bookstore, hardware_store, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon : 58874
Saved path: florist, music_store, jewelry_store, bakery, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, clothing_store, tech_shop, dentist, pizzeria, pet_store : 64772
Saved path: tech_shop, cafe, bookstore, dentist, craft_shop, gelateria, pharmacy, hardware_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store : 57605
Saved path: florist, gelateria, jewelry_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, craft_shop : 56211
Saved path: noodle_house, clothing_store, tech_shop, burger_joint, gym, craft_shop, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop : 56393
Saved path: noodle_house, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, bakery, party_store, jewelry_store, barber_shop, salon : 60918
Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, gym, hardware_store, dentist, grocery_store : 67641
Saved path: toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, pet_store, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store : 57632
Saved path: bookstore, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, gelateria, bank, florist, pet_store, hardware_store, burger_joint : 65631
Saved path: bookstore, grocery_store, clothing_store, toy_store, hardware_store, party_store, bike_shop, bakery, bank, florist, pet_store, craft_shop, dentist, cafe, burger_joint : 60084
Saved path: bookstore, cafe, grocery_store, clothing_store, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store : 59832
Saved path: burger_joint, bookstore, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store : 50443
Saved path: music_store, pharmacy, party_store, jewelry_store, hardware_store, salon, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, bank : 63684
Saved path: bank, music_store, florist, pet_store, gym, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy : 69620
Saved path: bakery, party_store, bike_shop, barber_shop, toy_store, clothing_store, bookstore, burger_joint, cafe, dentist, craft_shop, florist, bank, music_store, pharmacy : 60298
Saved path: noodle_house, clothing_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store, gym, hardware_store, salon : 68304
Saved path: bike_shop, bakery, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore, tech_shop, toy_store, salon, hardware_store, jewelry_store : 56840
Saved path: gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, toy_store, barber_shop, bakery, party_store, bike_shop, gelateria, florist, pet_store : 57913
Saved path: gelateria, bank, pharmacy, bakery, bike_shop, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pet_store, florist : 57561
Saved path: craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pharmacy, gelateria, bank, music_store, florist : 53438
Saved path: burger_joint, bookstore, craft_shop, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe : 50741
Saved path: craft_shop, pizzeria, dentist, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, bank, florist : 71819
Saved path: grocery_store, tech_shop, dentist, bookstore, gym, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, clothing_store : 62592
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, jewelry_store, bakery, bank, pet_store : 68548
Saved path: barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon : 59730
