Saved path: gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, music_store, gelateria : 62459
Saved path: gym, hardware_store, bike_shop, party_store, bakery, barber_shop, salon, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, music_store : 66657
Saved path: bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, bank, gelateria, gym, hardware_store, burger_joint : 66857
Saved path: bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, dentist, pet_store, florist : 67293
Saved path: pet_store, craft_shop, gym, hardware_store, bookstore, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, gelateria, florist : 60090
Saved path: gym, hardware_store, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, florist, craft_shop, pizzeria, dentist, clothing_store, toy_store, burger_joint : 62167
Saved path: cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, pet_store, pizzeria : 57298
Saved path: florist, bookstore, burger_joint, hardware_store, party_store, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, dentist, craft_shop, pet_store, bank, gelateria : 69141
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, pet_store, florist, gelateria, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house : 60480
Saved path: hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pet_store, florist : 59857
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, gym, hardware_store, burger_joint : 53141
Saved path: noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, bakery, bike_shop, barber_shop, salon, toy_store : 53442
Saved path: salon, noodle_house, toy_store, hardware_store, burger_joint, grocery_store, tech_shop, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, barber_shop : 55707
Saved path: gelateria, bank, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, grocery_store, cafe, pizzeria, gym, pet_store, florist : 69936
Saved path: dentist, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, burger_joint : 63098
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym, pet_store, bank : 70600
Saved path: dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, tech_shop : 68365
Saved path: bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, gym, pet_store, craft_shop, pizzeria, dentist, burger_joint : 55811
Saved path: salon, jewelry_store, bakery, hardware_store, gym, florist, gelateria, bank, pet_store, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house : 65542
Saved path: pet_store, florist, gelateria, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, dentist, pizzeria : 55995
Saved path: pet_store, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, pharmacy, bank, gelateria, florist : 54755
Saved path: dentist, craft_shop, florist, music_store, bank, gelateria, party_store, jewelry_store, bike_shop, gym, toy_store, clothing_store, grocery_store, bookstore, cafe : 61185
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, music_store, craft_shop, hardware_store, burger_joint, cafe, tech_shop, clothing_store, toy_store : 64468
Saved path: hardware_store, jewelry_store, party_store, bakery, barber_shop, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, pet_store, bank, music_store, florist : 72040
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, party_store, pharmacy, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, pizzeria : 65798
Saved path: toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, gym, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 63693
Saved path: gelateria, music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, cafe, burger_joint, toy_store, salon, hardware_store, party_store, bakery : 56536
