Saved path: pet_store, craft_shop, pizzeria, dentist, gym, hardware_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, bank, music_store, florist : 63976
Saved path: pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore, clothing_store, tech_shop, pizzeria, craft_shop : 61410
Saved path: pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery : 55480
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, hardware_store, pharmacy, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 57977
Saved path: bank, gelateria, bike_shop, party_store, bakery, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, pizzeria, music_store : 64405
Saved path: bakery, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, gym, bookstore, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy : 64711
Saved path: clothing_store, barber_shop, bike_shop, jewelry_store, pharmacy, bank, gelateria, florist, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store : 72659
Saved path: music_store, pharmacy, barber_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, cafe, clothing_store, pizzeria, pet_store, florist, gelateria : 65570
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery : 59914
Saved path: florist, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, pet_store : 53418
Saved path: burger_joint, gym, pet_store, gelateria, bank, music_store, bakery, hardware_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore : 59504
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, gym, dentist : 62461
