Saved path: pet_store, gelateria, bakery, bike_shop, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop : 55313
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store : 62177
Saved path: dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, pet_store, gym, hardware_store, bookstore, cafe : 59814
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, hardware_store, gym, craft_shop, pet_store, gelateria, bank, music_store, florist, bookstore : 63305
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, pharmacy, bank, florist, dentist, burger_joint : 63351
Saved path: barber_shop, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, gym, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, salon : 56677
Saved path: burger_joint, hardware_store, gym, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, craft_shop, dentist, tech_shop, bookstore : 61988
Saved path: pharmacy, music_store, bank, gelateria, florist, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, party_store, bike_shop : 60871
Saved path: burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, bank, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store : 67511
Saved path: hardware_store, bike_shop, bakery, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, burger_joint, bookstore, grocery_store, clothing_store, salon : 58240
Saved path: craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, toy_store, salon, jewelry_store, bakery, pharmacy, music_store, bank, pet_store : 67313
Saved path: bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store : 56207
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, dentist, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon : 62607
Saved path: craft_shop, gym, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, bakery, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store : 61667
Saved path: grocery_store, bookstore, burger_joint, hardware_store, gym, toy_store, barber_shop, jewelry_store, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist : 73472
Saved path: bike_shop, jewelry_store, bakery, gelateria, bank, pet_store, pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop : 68951
Saved path: pet_store, florist, gelateria, bank, music_store, bike_shop, party_store, bakery, toy_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop : 62447
Saved path: music_store, florist, gym, craft_shop, pizzeria, cafe, bookstore, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank : 68418
Saved path: toy_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house : 61374
Saved path: gelateria, florist, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, salon, hardware_store, gym, bike_shop, party_store, bakery, pharmacy : 54479
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pet_store, bank, gelateria, florist, craft_shop, gym, hardware_store, party_store, barber_shop, toy_store : 62324
Saved path: craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bike_shop, bakery, pharmacy, music_store, pet_store : 54916
Saved path: burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, gelateria, florist, pet_store, hardware_store : 57006
Saved path: pet_store, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, gelateria, bank, music_store, florist : 61933
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, burger_joint, gym, pet_store, florist, bank, gelateria, bike_shop, party_store, hardware_store : 65751
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, florist, gelateria, pharmacy, bakery : 57658
Saved path: gym, bike_shop, bakery, pharmacy, music_store, bank, florist, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, burger_joint : 51198
Saved path: dentist, pizzeria, tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, gym, burger_joint, bookstore, cafe : 60795
Saved path: grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria, jewelry_store, bakery, hardware_store, salon, noodle_house, burger_joint, bookstore : 67822
Saved path: florist, pet_store, craft_shop, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, pharmacy, music_store, gelateria : 47283
Saved path: gym, craft_shop, florist, gelateria, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, grocery_store, tech_shop, dentist, cafe, burger_joint : 63665
Saved path: pharmacy, music_store, bank, gelateria, pet_store, gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, toy_store, salon, barber_shop, bike_shop : 65982
Saved path: salon, barber_shop, party_store, pharmacy, florist, pet_store, gym, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store : 57926
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, pet_store, florist, bank, party_store, jewelry_store, bike_shop : 68818
Saved path: noodle_house, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 66446
Saved path: bakery, pharmacy, music_store, bank, gelateria, pet_store, dentist, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store, party_store : 60423
Saved path: noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store : 64339
Saved path: cafe, burger_joint, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, pharmacy, gelateria, bank, florist, craft_shop, dentist : 59010
Saved path: pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store : 65147
Saved path: clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy, bank, florist, pet_store, hardware_store, burger_joint, bookstore, cafe, tech_shop : 64705
Saved path: cafe, bookstore, hardware_store, gym, gelateria, bank, music_store, pharmacy, bike_shop, barber_shop, salon, clothing_store, grocery_store, pizzeria, dentist : 62477
Saved path: gelateria, music_store, florist, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy : 48801
Saved path: florist, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint : 62368
Saved path: pizzeria, craft_shop, pet_store, bank, pharmacy, party_store, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, bookstore, cafe, tech_shop : 66719
Saved path: barber_shop, salon, toy_store, gym, bookstore, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store : 60673
Saved path: tech_shop, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, gelateria, pet_store, craft_shop, dentist, cafe : 58751
Saved path: bakery, pharmacy, bank, music_store, craft_shop, gym, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store : 61165
Saved path: craft_shop, pizzeria, dentist, cafe, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, florist, pet_store, gym : 57951
Saved path: pizzeria, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, party_store, bakery, bank, florist, craft_shop : 62434
Saved path: noodle_house, burger_joint, tech_shop, pizzeria, craft_shop, gym, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 62784
Saved path: tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, bookstore, burger_joint : 57128
Saved path: cafe, dentist, pizzeria, craft_shop, florist, music_store, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store : 54512
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, gelateria, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, clothing_store, noodle_house : 70014
Saved path: barber_shop, bike_shop, party_store, bakery, gelateria, music_store, florist, pet_store, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store : 56058
Saved path: gym, hardware_store, bookstore, dentist, pizzeria, grocery_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, music_store, bank, pet_store, craft_shop : 64644
Saved path: tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 62566
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bank, craft_shop, gym, hardware_store, burger_joint : 66138
Saved path: noodle_house, salon, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, florist, gym, craft_shop, pizzeria, dentist, bookstore, grocery_store : 67248
Saved path: florist, bank, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, hardware_store, burger_joint, bookstore : 72753
Saved path: party_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 63751
