Saved path: bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank : 61720
Saved path: party_store, bakery, music_store, bank, gelateria, florist, craft_shop, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, hardware_store : 59660
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, gym, burger_joint, bookstore, cafe : 60099
Saved path: burger_joint, bookstore, grocery_store, noodle_house, barber_shop, jewelry_store, party_store, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, cafe : 68304
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, salon : 55037
Saved path: hardware_store, party_store, bike_shop, bakery, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, florist, music_store, bank, pet_store, bookstore, burger_joint : 67454
Saved path: jewelry_store, bakery, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, dentist, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop : 58888
Saved path: florist, craft_shop, gym, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bakery, party_store, pharmacy, music_store, bank : 63384
Saved path: bakery, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, clothing_store, cafe, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy : 56092
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bike_shop, music_store, florist, pet_store, gym, burger_joint : 57811
Saved path: music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, hardware_store, gelateria, bank : 53752
Saved path: bookstore, burger_joint, cafe, pizzeria, pet_store, florist, bank, pharmacy, bakery, bike_shop, toy_store, salon, noodle_house, clothing_store, grocery_store : 60665
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, gelateria, gym, craft_shop, pizzeria, dentist, cafe, bookstore : 58725
Saved path: craft_shop, dentist, cafe, tech_shop, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, florist, music_store, bank, gelateria, pet_store : 70306
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, gelateria, music_store, florist, pet_store, gym, bookstore, dentist, pizzeria, tech_shop : 68110
