Saved path: bookstore, cafe, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, gym : 65912
Saved path: hardware_store, burger_joint, bookstore, pet_store, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, noodle_house, toy_store, salon, barber_shop, party_store : 68084
Saved path: party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, gelateria, bank, music_store, pharmacy : 64279
Saved path: bookstore, burger_joint, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, dentist, tech_shop : 61473
Saved path: salon, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bike_shop, party_store, hardware_store : 66844
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, craft_shop, pet_store, pharmacy, bakery, party_store, jewelry_store, salon : 59599
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, gelateria, bank, music_store, pharmacy : 61701
Saved path: toy_store, hardware_store, jewelry_store, music_store, bank, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon : 66673
Saved path: burger_joint, hardware_store, party_store, jewelry_store, bakery, pharmacy, music_store, bank, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store : 56738
Saved path: party_store, pharmacy, music_store, bank, florist, craft_shop, pizzeria, gym, hardware_store, bookstore, grocery_store, clothing_store, salon, barber_shop, jewelry_store : 69900
Saved path: pet_store, gym, pizzeria, bookstore, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 71813
Saved path: cafe, dentist, craft_shop, gelateria, pharmacy, bakery, jewelry_store, bike_shop, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop : 52843
Saved path: tech_shop, cafe, burger_joint, bookstore, clothing_store, noodle_house, salon, toy_store, gym, bakery, party_store, pharmacy, gelateria, florist, pizzeria : 53782
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, burger_joint, dentist, craft_shop, florist, music_store, bank, pharmacy, bakery : 61305
Saved path: noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon : 54419
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store : 59937
Saved path: hardware_store, bookstore, cafe, tech_shop, grocery_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, pet_store, gym : 65671
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, gym, craft_shop, music_store, pharmacy, bakery : 59947
Saved path: grocery_store, tech_shop, cafe, bookstore, gym, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 55702
Saved path: cafe, burger_joint, gym, craft_shop, florist, bank, music_store, bike_shop, bakery, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist : 60061
Saved path: burger_joint, salon, clothing_store, grocery_store, dentist, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store, gym : 56778
Saved path: dentist, tech_shop, clothing_store, cafe, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria : 63690
Saved path: cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, grocery_store : 57875
Saved path: clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, gym, florist, gelateria, bank, pet_store, craft_shop, dentist : 64155
Saved path: craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop, party_store, music_store, gelateria, pet_store : 61014
