Saved path: bike_shop, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, cafe, burger_joint, gym, toy_store, barber_shop, jewelry_store : 60819
Saved path: bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, craft_shop, florist, bank, music_store, pharmacy, bakery : 62304
Saved path: pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, gym, toy_store, barber_shop, jewelry_store, bakery, music_store, bank : 69614
Saved path: toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, dentist, bookstore, grocery_store, noodle_house, salon : 67854
Saved path: gym, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, florist, music_store, pharmacy, bakery, jewelry_store, bike_shop : 55467
Saved path: bike_shop, party_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, music_store : 50504
Saved path: toy_store, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, jewelry_store, barber_shop, salon, hardware_store, burger_joint : 61815
Saved path: tech_shop, grocery_store, dentist, craft_shop, pet_store, gelateria, bike_shop, bakery, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe : 52038
Saved path: bakery, pharmacy, gelateria, bank, music_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, salon, jewelry_store, party_store, bike_shop : 65578
Saved path: bike_shop, pharmacy, florist, pet_store, pizzeria, dentist, cafe, bookstore, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store : 62626
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, cafe, dentist, craft_shop, music_store, pharmacy : 58448
Saved path: cafe, dentist, pizzeria, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, craft_shop, gym, burger_joint, bookstore : 60683
Saved path: music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, toy_store, hardware_store, burger_joint, cafe, dentist, craft_shop : 55833
Saved path: toy_store, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, bike_shop, jewelry_store, party_store : 68423
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, music_store, florist, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store : 62422
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, gym, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pizzeria, cafe, bookstore : 65844
Saved path: salon, barber_shop, party_store, pharmacy, music_store, bank, gelateria, florist, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, toy_store : 61800
Saved path: tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, pizzeria, dentist, bookstore, burger_joint : 63203
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop : 59900
Saved path: bike_shop, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, noodle_house, toy_store, bakery, jewelry_store : 67058
Saved path: cafe, clothing_store, tech_shop, dentist, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, bookstore : 71554
Saved path: gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store, bakery, bike_shop, music_store, bank : 59444
Saved path: toy_store, gym, bike_shop, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house, salon : 58774
Saved path: clothing_store, grocery_store, burger_joint, hardware_store, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house : 55984
Saved path: tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, bike_shop, jewelry_store, party_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store : 56982
Saved path: grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, dentist : 66715
Saved path: tech_shop, dentist, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, clothing_store : 60417
Saved path: bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy : 69142
Saved path: cafe, dentist, clothing_store, salon, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, gym, bookstore : 67953
Saved path: pharmacy, party_store, barber_shop, toy_store, noodle_house, clothing_store, bookstore, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, bank, music_store : 65875
