Saved path: jewelry_store, hardware_store, gym, burger_joint, bookstore, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy : 65146
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, gym, bike_shop, bakery, bank, music_store, craft_shop, pizzeria, dentist, cafe : 58980
Saved path: party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, bookstore, cafe, burger_joint, hardware_store : 54929
Saved path: tech_shop, cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery, gelateria, bank, music_store, craft_shop, pizzeria : 56518
Saved path: salon, toy_store, party_store, bike_shop, pharmacy, music_store, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house : 60386
Saved path: bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, bank, music_store, jewelry_store : 66602
Saved path: noodle_house, grocery_store, pizzeria, dentist, bookstore, hardware_store, gym, pet_store, florist, bank, pharmacy, party_store, barber_shop, salon, toy_store : 72253
Saved path: music_store, bank, bakery, party_store, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint, cafe, grocery_store, dentist, pizzeria, pet_store, florist : 71288
Saved path: bakery, bike_shop, hardware_store, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, pet_store, florist, gelateria : 50501
Saved path: gym, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store : 58830
Saved path: music_store, florist, craft_shop, dentist, tech_shop, cafe, bookstore, toy_store, gym, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank : 52472
Saved path: bike_shop, party_store, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store, toy_store, gym : 60756
Saved path: gym, hardware_store, bike_shop, party_store, bakery, music_store, gelateria, craft_shop, dentist, bookstore, cafe, tech_shop, noodle_house, salon, toy_store : 56818
Saved path: hardware_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, pet_store, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 61605
Saved path: pizzeria, tech_shop, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, bike_shop, music_store, bank, pet_store : 65602
Saved path: burger_joint, bookstore, grocery_store, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store : 71563
Saved path: salon, noodle_house, burger_joint, bookstore, tech_shop, dentist, craft_shop, florist, bank, gelateria, jewelry_store, party_store, hardware_store, gym, toy_store : 67510
Saved path: burger_joint, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, florist, dentist, tech_shop, bookstore : 66272
Saved path: clothing_store, grocery_store, tech_shop, cafe, gym, craft_shop, gelateria, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 63399
