Saved path: gelateria, pharmacy, jewelry_store, bike_shop, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, pet_store : 59852
Saved path: pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop : 53135
Saved path: party_store, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, grocery_store, bookstore, dentist, craft_shop, pet_store, gelateria, music_store, pharmacy : 61931
Saved path: pizzeria, craft_shop, gelateria, bank, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist : 62405
Saved path: salon, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house : 61578
Saved path: hardware_store, bakery, party_store, bike_shop, gelateria, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, gym : 50534
Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, dentist, craft_shop, pet_store, bank, florist, gym, party_store, bike_shop, barber_shop : 68698
Saved path: salon, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, pet_store, florist, bank, bakery, party_store, jewelry_store, barber_shop : 67686
Saved path: bank, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria : 69056
Saved path: hardware_store, jewelry_store, bike_shop, bakery, bank, pet_store, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store : 66453
Saved path: gym, pizzeria, cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, florist, pet_store : 63742
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, pharmacy, gelateria, bank, pet_store : 60069
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bakery, pharmacy, music_store, florist, pet_store, gym, burger_joint, cafe, dentist : 54364
Saved path: pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop, bank : 68105
Saved path: pizzeria, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop : 56209
Saved path: pharmacy, music_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store : 56805
Saved path: hardware_store, gym, burger_joint, bookstore, noodle_house, tech_shop, cafe, dentist, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store : 63330
Saved path: toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store : 58670
Saved path: bike_shop, party_store, bakery, pharmacy, pet_store, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store : 50153
Saved path: craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, bakery, bank, gelateria : 67686
Saved path: craft_shop, gym, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store : 64847
Saved path: pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store, bookstore, burger_joint, dentist, craft_shop, florist, gelateria, bank, music_store : 61735
Saved path: florist, bank, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym : 62832
Saved path: craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, pharmacy, bank, pet_store : 59850
Saved path: gelateria, bank, florist, gym, hardware_store, burger_joint, bookstore, cafe, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store : 58431
Saved path: burger_joint, gym, gelateria, bank, music_store, pharmacy, bakery, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore : 58441
Saved path: grocery_store, tech_shop, cafe, bookstore, gym, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house : 61673
Saved path: hardware_store, gym, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, pizzeria, dentist, cafe, burger_joint : 61277
Saved path: grocery_store, dentist, bookstore, burger_joint, gym, pet_store, florist, music_store, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, clothing_store : 60328
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, salon, burger_joint, gym, bike_shop, party_store, pharmacy, gelateria, bank : 67773
Saved path: pizzeria, tech_shop, noodle_house, salon, barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, florist, gym, hardware_store, burger_joint, bookstore : 68481
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, florist, gym : 60758
Saved path: pizzeria, cafe, bookstore, grocery_store, clothing_store, toy_store, hardware_store, party_store, bakery, barber_shop, pharmacy, gelateria, music_store, florist, pet_store : 59611
Saved path: noodle_house, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, pet_store, florist, music_store, gelateria, pharmacy, jewelry_store, bakery, toy_store : 55125
Saved path: gelateria, music_store, pharmacy, party_store, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, grocery_store, cafe, dentist, pizzeria, craft_shop : 60324
Saved path: toy_store, gym, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, burger_joint, bookstore, cafe, dentist, tech_shop, noodle_house : 63801
