Saved path: gelateria, bike_shop, party_store, bakery, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, bookstore, dentist, craft_shop, florist, bank : 62193
Saved path: party_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store : 62491
Saved path: florist, pet_store, pizzeria, dentist, clothing_store, bookstore, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria : 65930
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop, bookstore, tech_shop, noodle_house, salon, barber_shop, bike_shop : 65201
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store, gym, craft_shop, pizzeria, cafe, clothing_store, noodle_house, barber_shop, jewelry_store : 61660
Saved path: music_store, florist, craft_shop, dentist, cafe, bookstore, grocery_store, noodle_house, salon, toy_store, gym, bakery, pharmacy, gelateria, bank : 52933
Saved path: pizzeria, dentist, cafe, burger_joint, gym, florist, music_store, jewelry_store, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop : 58509
Saved path: jewelry_store, gelateria, bank, florist, pet_store, craft_shop, dentist, cafe, bookstore, hardware_store, toy_store, noodle_house, barber_shop, bakery, bike_shop : 69024
Saved path: music_store, pharmacy, bike_shop, jewelry_store, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, pet_store, bank : 69256
Saved path: tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, party_store, barber_shop, salon, clothing_store : 70125
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, bike_shop, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint : 51791
Saved path: noodle_house, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, party_store, gym, toy_store, salon : 68589
Saved path: florist, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym : 57260
Saved path: cafe, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bakery, pharmacy, music_store, bank, pizzeria, dentist : 62481
Saved path: gelateria, bank, pharmacy, jewelry_store, bakery, gym, burger_joint, toy_store, salon, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop : 66194
Saved path: noodle_house, clothing_store, pizzeria, dentist, cafe, hardware_store, gym, florist, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 68420
Saved path: party_store, bakery, bank, gelateria, florist, pet_store, craft_shop, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store : 59342
Saved path: pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store, party_store, music_store, bank, gelateria, florist, craft_shop : 60188
Saved path: noodle_house, grocery_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, florist, bank, pharmacy, bakery, barber_shop, salon : 57899
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, burger_joint, hardware_store, gym, pet_store, florist, music_store, jewelry_store, party_store, bakery : 56591
Saved path: noodle_house, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, hardware_store, gym, toy_store, salon : 50354
Saved path: florist, music_store, pharmacy, bakery, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop : 49321
Saved path: hardware_store, jewelry_store, party_store, pharmacy, gelateria, bank, florist, craft_shop, pizzeria, tech_shop, cafe, clothing_store, toy_store, burger_joint, gym : 61567
Saved path: grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym, florist, gelateria, music_store, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store : 56605
Saved path: jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery : 57781
Saved path: noodle_house, clothing_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, party_store, jewelry_store, salon : 68104
Saved path: pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, craft_shop : 54207
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, music_store, party_store, jewelry_store : 64789
Saved path: grocery_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, bank, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store : 70089
Saved path: bike_shop, bakery, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store : 57386
