Saved path: burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house : 56853
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, florist, dentist, burger_joint, cafe, grocery_store : 63761
Saved path: tech_shop, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, party_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store, dentist : 57901
Saved path: gelateria, bank, florist, pet_store, burger_joint, cafe, tech_shop, grocery_store, toy_store, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy : 63551
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, dentist, burger_joint, hardware_store, gym, music_store, gelateria, pharmacy : 61119
Saved path: grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store : 58661
Saved path: gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, salon, party_store, pharmacy : 55759
Saved path: barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, salon : 68214
Saved path: gelateria, florist, pet_store, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bakery, pharmacy, bank : 51953
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, gym, hardware_store, tech_shop, noodle_house, salon, barber_shop, bike_shop : 58446
Saved path: gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, gym, burger_joint, noodle_house, clothing_store, cafe, pizzeria, pet_store, florist, music_store, bank : 65873
Saved path: craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, gelateria, music_store : 59766
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, burger_joint, bookstore, grocery_store, tech_shop, pizzeria : 62135
Saved path: florist, pet_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store, party_store, jewelry_store, gelateria, bank : 66901
Saved path: pizzeria, dentist, cafe, burger_joint, party_store, pharmacy, florist, pet_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop : 55800
Saved path: party_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, dentist, cafe, burger_joint, gym, music_store, bank, gelateria, pharmacy, bakery : 61394
Saved path: dentist, pizzeria, craft_shop, florist, bank, gelateria, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint : 62963
Saved path: toy_store, hardware_store, gym, bookstore, cafe, pizzeria, florist, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 61858
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, pet_store, florist, bank : 65895
Saved path: bookstore, burger_joint, hardware_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop : 60949
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, burger_joint, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank : 60727
Saved path: grocery_store, toy_store, salon, barber_shop, bakery, bike_shop, party_store, hardware_store, gym, pet_store, bank, music_store, pizzeria, dentist, cafe : 68502
Saved path: music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, noodle_house, salon, jewelry_store, party_store, bakery : 65474
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop : 64172
Saved path: bank, florist, pet_store, pizzeria, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 71699
Saved path: clothing_store, noodle_house, toy_store, barber_shop, gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store : 49954
Saved path: party_store, toy_store, salon, noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy : 64378
Saved path: burger_joint, toy_store, salon, hardware_store, gym, bakery, party_store, jewelry_store, music_store, gelateria, florist, craft_shop, pizzeria, cafe, bookstore : 58848
Saved path: gelateria, florist, pet_store, pizzeria, dentist, grocery_store, salon, barber_shop, bakery, party_store, jewelry_store, hardware_store, pharmacy, music_store, bank : 70716
Saved path: gelateria, pharmacy, bakery, barber_shop, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank : 52902
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist, bookstore, tech_shop, grocery_store, toy_store, hardware_store, jewelry_store, bike_shop, bakery : 61632
Saved path: burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, bakery, bank, gelateria, florist, pet_store, bookstore : 59689
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop, dentist, cafe : 63862
Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bakery, bank, music_store, florist, craft_shop, gym, hardware_store : 61283
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, barber_shop, salon, toy_store, burger_joint, bookstore, tech_shop : 64336
Saved path: pet_store, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, bank : 72492
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store : 57347
Saved path: burger_joint, gym, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 59508
