Saved path: pizzeria, craft_shop, music_store, bank, pharmacy, bakery, jewelry_store, barber_shop, hardware_store, gym, burger_joint, bookstore, cafe, clothing_store, dentist : 68408
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house, toy_store, bookstore, cafe : 60661
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, dentist, pizzeria, pet_store, gym, bike_shop, jewelry_store, party_store : 55061
Saved path: bank, music_store, pharmacy, bakery, bike_shop, gym, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store : 53365
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, dentist, pizzeria : 54579
Saved path: pet_store, florist, bank, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, gym, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop : 66318
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, toy_store, clothing_store, noodle_house, salon, barber_shop : 62408
Saved path: gym, burger_joint, bookstore, cafe, dentist, tech_shop, toy_store, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, florist, pet_store : 63035
Saved path: gelateria, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, gym, burger_joint, bookstore, tech_shop, pizzeria, craft_shop : 68753
Saved path: bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, dentist, cafe, burger_joint, noodle_house, toy_store, gym, hardware_store : 61588
Saved path: burger_joint, bookstore, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 58187
Saved path: gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, clothing_store, grocery_store, cafe, dentist, florist, music_store, bank, gelateria, pet_store : 67203
Saved path: gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop, hardware_store, gym, florist : 59922
Saved path: bakery, party_store, jewelry_store, bike_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy : 52525
Saved path: barber_shop, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, bank, music_store, bakery, bike_shop : 57475
Saved path: craft_shop, pizzeria, dentist, cafe, burger_joint, clothing_store, noodle_house, barber_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store : 66077
Saved path: music_store, bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, bank : 59133
Saved path: bank, music_store, bakery, party_store, bike_shop, gym, toy_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, pet_store, florist, gelateria : 62097
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, bank, pharmacy, party_store, bike_shop, gym, burger_joint, toy_store : 60613
Saved path: cafe, bookstore, gym, pet_store, music_store, bike_shop, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist : 63820
Saved path: gym, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, dentist, bookstore, burger_joint, hardware_store : 62323
