Saved path: dentist, cafe, burger_joint, hardware_store, gym, craft_shop, gelateria, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria : 59266
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, hardware_store, bookstore, florist, gelateria, bank : 68090
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, cafe, bookstore, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gelateria, bank : 68440
Saved path: burger_joint, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist : 67001
Saved path: pizzeria, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, hardware_store, gym, bookstore, grocery_store, dentist : 62613
Saved path: cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store, bike_shop, barber_shop, noodle_house, clothing_store : 68719
Saved path: toy_store, salon, bakery, party_store, bike_shop, music_store, gelateria, pet_store, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store : 53411
Saved path: bank, music_store, pharmacy, bakery, bike_shop, gym, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, cafe, dentist, florist, gelateria : 52913
Saved path: music_store, florist, pizzeria, tech_shop, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint, gym, party_store, jewelry_store, bike_shop, gelateria : 62159
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop : 65517
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, gym, pet_store, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store : 68196
Saved path: craft_shop, pet_store, bank, gelateria, florist, gym, bike_shop, party_store, jewelry_store, salon, grocery_store, tech_shop, burger_joint, bookstore, dentist : 70576
Saved path: bookstore, burger_joint, clothing_store, noodle_house, salon, hardware_store, bike_shop, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop : 57567
Saved path: grocery_store, tech_shop, cafe, burger_joint, gym, pet_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house : 53203
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, dentist, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop : 65238
Saved path: burger_joint, gym, craft_shop, bank, gelateria, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore : 61159
Saved path: bank, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, bakery, gelateria : 65682
Saved path: florist, pet_store, pizzeria, dentist, grocery_store, burger_joint, toy_store, salon, hardware_store, jewelry_store, party_store, pharmacy, gelateria, bank, music_store : 68827
Saved path: toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, gelateria, music_store, jewelry_store, party_store, bakery, hardware_store : 52043
Saved path: pet_store, bank, gelateria, pharmacy, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, craft_shop : 63049
Saved path: salon, noodle_house, burger_joint, dentist, craft_shop, florist, gelateria, bank, pet_store, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop : 68062
Saved path: gym, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, hardware_store : 50610
