Saved path: bookstore, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, burger_joint : 62231
Saved path: gelateria, florist, pet_store, pizzeria, dentist, bookstore, gym, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank : 72397
Saved path: barber_shop, bakery, pharmacy, bank, pet_store, gym, hardware_store, bookstore, cafe, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, salon : 61035
Saved path: grocery_store, clothing_store, salon, toy_store, gym, bike_shop, party_store, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore : 67620
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy : 51996
Saved path: burger_joint, gym, hardware_store, bakery, jewelry_store, gelateria, bank, music_store, florist, pizzeria, cafe, clothing_store, noodle_house, salon, toy_store : 65193
Saved path: jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, florist, bank, gelateria : 68569
Saved path: dentist, tech_shop, grocery_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, gym, hardware_store : 66318
Saved path: grocery_store, toy_store, burger_joint, gym, hardware_store, bike_shop, bakery, pharmacy, music_store, bank, florist, craft_shop, dentist, cafe, tech_shop : 52045
Saved path: salon, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, pet_store, gym, party_store, hardware_store : 65419
Saved path: burger_joint, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, bike_shop, bakery, gelateria, florist, pizzeria, dentist, cafe, bookstore : 52226
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bakery, hardware_store, pharmacy, bank, music_store, florist : 63645
Saved path: bank, music_store, pharmacy, bakery, party_store, barber_shop, toy_store, grocery_store, tech_shop, cafe, bookstore, gym, pet_store, florist, gelateria : 60417
Saved path: bookstore, dentist, pizzeria, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, bakery, pharmacy, bank, florist, pet_store, gym, burger_joint : 67194
Saved path: jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, dentist, pet_store, music_store, pharmacy, bakery, bike_shop : 61945
Saved path: music_store, florist, dentist, bookstore, burger_joint, gym, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank : 65781
Saved path: noodle_house, salon, barber_shop, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore, tech_shop, grocery_store, clothing_store : 51290
Saved path: gym, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pet_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, burger_joint : 55857
Saved path: pizzeria, craft_shop, florist, bank, music_store, pharmacy, party_store, bike_shop, gym, toy_store, salon, clothing_store, bookstore, cafe, tech_shop : 64691
Saved path: jewelry_store, party_store, bakery, pharmacy, florist, pet_store, craft_shop, dentist, grocery_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop : 59304
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gelateria, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 62861
Saved path: burger_joint, hardware_store, craft_shop, pet_store, bank, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore : 56562
Saved path: bookstore, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, florist : 65295
Saved path: gelateria, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, pet_store : 58422
Saved path: burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bike_shop, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe : 56936
Saved path: burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, party_store, bike_shop, music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe : 65364
Saved path: cafe, grocery_store, pizzeria, pet_store, bank, music_store, florist, gym, bike_shop, jewelry_store, party_store, bakery, toy_store, burger_joint, bookstore : 67596
Saved path: salon, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, hardware_store : 65551
Saved path: bakery, party_store, jewelry_store, hardware_store, salon, toy_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, gelateria, music_store : 59330
Saved path: bike_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, gym, craft_shop, gelateria, bank, music_store, pharmacy, bakery, party_store : 54219
Saved path: burger_joint, bookstore, clothing_store, toy_store, hardware_store, party_store, bike_shop, bakery, music_store, gelateria, florist, craft_shop, pizzeria, dentist, cafe : 51290
Saved path: gym, hardware_store, salon, toy_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store, bakery : 60110
Saved path: cafe, gym, hardware_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, grocery_store : 68789
Saved path: bookstore, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, party_store, jewelry_store, gelateria, florist, craft_shop, pizzeria, gym, burger_joint : 60062
Saved path: bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, hardware_store, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy : 58710
Saved path: pizzeria, dentist, bookstore, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, hardware_store, gym, pet_store, bank, gelateria, florist : 64144
Saved path: bookstore, dentist, pet_store, gelateria, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint : 58286
