Saved path: bank, music_store, bike_shop, jewelry_store, hardware_store, salon, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, florist : 71270
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop, noodle_house, toy_store, gym : 54185
Saved path: jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, cafe, pizzeria, florist, gelateria, bank, music_store, pharmacy : 63196
Saved path: burger_joint, cafe, grocery_store, tech_shop, pizzeria, florist, music_store, bank, gelateria, jewelry_store, party_store, bike_shop, barber_shop, noodle_house, toy_store : 66061
Saved path: grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, pet_store, florist, music_store, bike_shop, jewelry_store, party_store, barber_shop, toy_store, clothing_store : 63405
Saved path: clothing_store, tech_shop, cafe, dentist, florist, gelateria, bank, pet_store, gym, hardware_store, bakery, jewelry_store, bike_shop, barber_shop, noodle_house : 67297
Saved path: pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, barber_shop, party_store, pharmacy, bank, music_store, florist, pet_store, craft_shop : 64875
Saved path: craft_shop, pizzeria, tech_shop, cafe, clothing_store, noodle_house, salon, burger_joint, gym, bike_shop, bakery, pharmacy, gelateria, bank, pet_store : 58956
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, pet_store, bank, music_store, bike_shop : 60473
Saved path: bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, pet_store, craft_shop : 54220
Saved path: bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, bookstore, clothing_store, noodle_house, salon, hardware_store : 58830
Saved path: salon, toy_store, clothing_store, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, bank, party_store, bakery, barber_shop : 67136
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, gym, hardware_store, bookstore : 53877
Saved path: salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, dentist, craft_shop, florist, gelateria, bank, music_store, bakery, hardware_store : 51819
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon : 49403
Saved path: bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, gym, barber_shop, bike_shop, bakery, pharmacy : 63798
Saved path: toy_store, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, pizzeria, gym, hardware_store, burger_joint, grocery_store, clothing_store, noodle_house : 68803
Saved path: jewelry_store, party_store, bakery, toy_store, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store : 61399
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, music_store, florist, craft_shop, gym, burger_joint, bookstore, pizzeria, tech_shop : 60132
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, burger_joint, hardware_store, gym, florist, music_store, gelateria, pharmacy, bakery : 51947
Saved path: hardware_store, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, party_store, jewelry_store : 66027
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, burger_joint, grocery_store, clothing_store, salon, jewelry_store, bike_shop, bakery, pharmacy : 57582
Saved path: craft_shop, dentist, bookstore, burger_joint, hardware_store, gym, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, music_store, bank, pet_store : 67763
Saved path: florist, craft_shop, gym, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, jewelry_store, party_store, pharmacy, music_store, bank : 67915
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bank : 71029
Saved path: florist, gelateria, music_store, bakery, party_store, jewelry_store, hardware_store, gym, burger_joint, salon, noodle_house, grocery_store, dentist, pizzeria, craft_shop : 59295
Saved path: gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, jewelry_store, bike_shop, hardware_store, music_store, bank : 68159
Saved path: bakery, pharmacy, music_store, florist, pet_store, gym, burger_joint, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store : 60527
Saved path: clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, jewelry_store, gym, toy_store, noodle_house : 65485
Saved path: craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist : 56983
Saved path: dentist, bookstore, hardware_store, gym, craft_shop, music_store, pharmacy, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria : 58412
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, hardware_store, toy_store : 57695
Saved path: toy_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store, bike_shop, hardware_store : 52793
Saved path: grocery_store, cafe, dentist, pizzeria, craft_shop, florist, bank, party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, salon, clothing_store : 68562
Saved path: pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, florist, pet_store : 70406
Saved path: barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, cafe, tech_shop, pizzeria, pet_store, bank, gelateria, bakery, bike_shop, jewelry_store : 70157
Saved path: pharmacy, bank, music_store, florist, gym, hardware_store, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store : 60809
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, bakery, gelateria, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store : 59344
Saved path: salon, noodle_house, clothing_store, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, gym, burger_joint, toy_store : 66083
