Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, florist, pet_store, gym, pizzeria : 55951
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bakery, party_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, burger_joint, bookstore : 56185
Saved path: bookstore, dentist, craft_shop, florist, bank, music_store, pharmacy, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store : 61225
Saved path: clothing_store, toy_store, salon, jewelry_store, party_store, hardware_store, gym, florist, bank, pet_store, craft_shop, dentist, bookstore, tech_shop, grocery_store : 69132
Saved path: salon, barber_shop, bike_shop, party_store, music_store, bank, gelateria, florist, pizzeria, dentist, tech_shop, grocery_store, cafe, burger_joint, toy_store : 63907
Saved path: bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, gym, pet_store, florist, music_store, pharmacy : 59029
Saved path: pizzeria, tech_shop, grocery_store, cafe, burger_joint, toy_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, music_store, bank, florist : 64515
Saved path: hardware_store, gym, pet_store, bank, gelateria, florist, craft_shop, pizzeria, cafe, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store : 68893
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, gelateria, music_store, florist : 43843
Saved path: jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop : 54224
Saved path: bakery, barber_shop, toy_store, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, bank, pharmacy, party_store : 61981
Saved path: florist, bank, gelateria, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, cafe, dentist, pizzeria, craft_shop : 62422
Saved path: hardware_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, gelateria, bank, music_store, florist, pizzeria, dentist, cafe, burger_joint, gym : 67441
Saved path: party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store : 68907
Saved path: bank, pet_store, gym, hardware_store, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store : 67535
Saved path: cafe, dentist, pizzeria, craft_shop, florist, gelateria, music_store, bakery, bike_shop, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store : 46332
Saved path: craft_shop, florist, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon, clothing_store, bookstore, burger_joint, hardware_store, gym, pizzeria : 61004
Saved path: clothing_store, dentist, craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, salon, noodle_house : 56229
Saved path: bike_shop, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, gym : 52511
Saved path: party_store, jewelry_store, bakery, gym, florist, music_store, bank, pet_store, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, hardware_store : 59590
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, jewelry_store, bike_shop, hardware_store, gym, bank, craft_shop, dentist, cafe : 67683
Saved path: pizzeria, dentist, tech_shop, burger_joint, gym, hardware_store, salon, barber_shop, bakery, bike_shop, jewelry_store, music_store, bank, florist, craft_shop : 69541
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, gym, party_store, jewelry_store, pharmacy, gelateria, craft_shop : 55246
Saved path: dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, pharmacy, bakery, barber_shop, toy_store, clothing_store, tech_shop, pizzeria : 49961
Saved path: florist, gelateria, bank, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria : 65505
Saved path: bakery, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store : 64002
Saved path: gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, clothing_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank : 70965
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, burger_joint, gym, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy : 67713
Saved path: gelateria, jewelry_store, party_store, bakery, gym, hardware_store, salon, toy_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, bank : 65942
Saved path: clothing_store, noodle_house, barber_shop, bakery, party_store, hardware_store, pharmacy, music_store, bank, florist, pizzeria, cafe, burger_joint, bookstore, grocery_store : 63627
Saved path: gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint, cafe, dentist, pet_store : 58264
Saved path: craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, bank, pet_store : 65523
Saved path: clothing_store, noodle_house, barber_shop, party_store, pharmacy, bank, music_store, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store : 56412
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, florist, music_store, bank, pet_store, gym, hardware_store : 59221
Saved path: bookstore, cafe, burger_joint, hardware_store, gym, craft_shop, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 61815
Saved path: jewelry_store, party_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, gym, toy_store, noodle_house, barber_shop : 60639
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, gym, florist, pet_store, craft_shop, dentist, bookstore, burger_joint : 58578
Saved path: bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, hardware_store, burger_joint : 62132
Saved path: pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, gym, pet_store, bank, music_store : 57142
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, dentist, burger_joint, hardware_store, gym, craft_shop, florist, bank : 64037
Saved path: gym, burger_joint, cafe, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, music_store, florist : 53694
Saved path: hardware_store, salon, noodle_house, clothing_store, bookstore, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, gym : 70734
Saved path: salon, hardware_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint, dentist, tech_shop, clothing_store, noodle_house : 58609
Saved path: bakery, pharmacy, bank, music_store, craft_shop, gym, hardware_store, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 56156
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, toy_store, gym, burger_joint, cafe : 65289
Saved path: bank, music_store, pharmacy, jewelry_store, barber_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, bookstore, dentist, craft_shop, florist, gelateria : 65367
Saved path: barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store : 67455
Saved path: hardware_store, gym, pet_store, florist, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore : 67007
Saved path: bike_shop, jewelry_store, party_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, florist, music_store, gelateria : 54687
Saved path: bookstore, cafe, dentist, tech_shop, grocery_store, barber_shop, bakery, party_store, pharmacy, music_store, bank, florist, craft_shop, gym, burger_joint : 61510
Saved path: salon, barber_shop, bike_shop, party_store, jewelry_store, gelateria, bank, music_store, gym, craft_shop, pizzeria, dentist, grocery_store, clothing_store, toy_store : 68936
Saved path: party_store, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, hardware_store, gym, bakery : 66339
Saved path: tech_shop, grocery_store, noodle_house, salon, hardware_store, party_store, bakery, music_store, gelateria, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 54617
Saved path: clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, gym, pet_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house : 61030
Saved path: hardware_store, craft_shop, pet_store, florist, bank, gelateria, pharmacy, party_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint : 63316
Saved path: pet_store, bank, florist, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, pizzeria : 74140
Saved path: bank, gelateria, party_store, bakery, barber_shop, salon, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist : 65504
Saved path: toy_store, grocery_store, pizzeria, craft_shop, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 69195
Saved path: bakery, party_store, bike_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy : 61171
Saved path: music_store, bank, gelateria, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop : 67728
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, tech_shop, pizzeria : 53774
Saved path: tech_shop, clothing_store, salon, toy_store, bookstore, burger_joint, gym, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria : 52643
Saved path: florist, bank, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, pet_store : 71268
Saved path: tech_shop, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, party_store, bakery, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store : 57725
Saved path: bakery, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, pet_store, gelateria, bike_shop, jewelry_store, party_store : 63854
Saved path: jewelry_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon : 63059
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, dentist, tech_shop, grocery_store, cafe, burger_joint, hardware_store, toy_store, barber_shop, bakery, party_store : 53283
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, hardware_store, gym, florist, pet_store : 61136
Saved path: barber_shop, bakery, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, clothing_store, cafe, bookstore, gym, hardware_store : 64139
Saved path: bank, pharmacy, party_store, bike_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store : 67147
Saved path: toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, dentist, tech_shop, cafe, bookstore, burger_joint : 63987
Saved path: bike_shop, party_store, pharmacy, bank, gelateria, craft_shop, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 59641
