Saved path: music_store, bank, gelateria, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, hardware_store, gym : 64992
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, hardware_store, gym, craft_shop, florist, gelateria, bank, music_store, pharmacy : 53333
Saved path: tech_shop, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, cafe : 67991
Saved path: craft_shop, music_store, bank, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist : 57533
Saved path: pet_store, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, dentist, cafe, bookstore, gym, craft_shop : 68264
Saved path: pet_store, pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist : 68969
Saved path: barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop : 53964
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, florist, bank, music_store, bike_shop, party_store, hardware_store : 61690
Saved path: salon, noodle_house, grocery_store, tech_shop, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, hardware_store : 60768
Saved path: toy_store, salon, barber_shop, jewelry_store, pharmacy, music_store, bank, pet_store, gym, burger_joint, dentist, pizzeria, grocery_store, clothing_store, noodle_house : 69807
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore, burger_joint : 58839
Saved path: hardware_store, gym, pet_store, gelateria, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint : 64023
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, bank : 66066
Saved path: party_store, jewelry_store, barber_shop, toy_store, gym, hardware_store, burger_joint, bookstore, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, bakery : 67485
Saved path: dentist, pizzeria, craft_shop, florist, bank, music_store, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore : 58292
Saved path: bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, music_store, pharmacy, party_store, jewelry_store : 62198
Saved path: gelateria, florist, pet_store, craft_shop, gym, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, pharmacy, bank : 59647
Saved path: jewelry_store, bike_shop, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, gelateria, music_store, pharmacy : 55172
Saved path: florist, gelateria, bank, bakery, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, gym : 58891
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, bookstore, hardware_store : 61762
Saved path: burger_joint, bookstore, cafe, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, barber_shop, salon, clothing_store, toy_store, hardware_store : 63351
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, pizzeria, dentist, grocery_store, clothing_store, salon, toy_store, burger_joint, hardware_store : 64646
Saved path: clothing_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, barber_shop, toy_store : 53797
Saved path: bank, music_store, jewelry_store, bike_shop, bakery, hardware_store, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, gym, pet_store, gelateria : 59357
