Saved path: gelateria, music_store, florist, craft_shop, gym, hardware_store, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, bike_shop, bakery, pharmacy : 54146
Saved path: gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, toy_store, gym, hardware_store, jewelry_store, party_store, pharmacy : 53963
Saved path: grocery_store, clothing_store, noodle_house, salon, hardware_store, bakery, pharmacy, gelateria, florist, gym, burger_joint, bookstore, cafe, dentist, pizzeria : 46682
Saved path: toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, florist, bank, music_store, jewelry_store, party_store, barber_shop, salon, noodle_house : 68586
Saved path: pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, gym, bike_shop, jewelry_store : 56287
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, florist, bank, music_store, pharmacy, bike_shop, jewelry_store, party_store, burger_joint : 62250
Saved path: jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, music_store, bike_shop : 53480
Saved path: salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, craft_shop, gym, bookstore, dentist, grocery_store, clothing_store, toy_store : 65062
Saved path: music_store, bank, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, burger_joint, cafe, dentist, pizzeria, pet_store, florist : 67876
Saved path: pet_store, florist, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 70754
Saved path: gelateria, pet_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, bank : 59903
Saved path: bank, music_store, pharmacy, bakery, party_store, barber_shop, noodle_house, clothing_store, tech_shop, cafe, burger_joint, dentist, craft_shop, florist, gelateria : 57363
Saved path: florist, gelateria, bank, music_store, bike_shop, party_store, jewelry_store, salon, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 69325
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, cafe, burger_joint, gym, hardware_store, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop : 52247
Saved path: noodle_house, grocery_store, tech_shop, bookstore, dentist, pizzeria, pet_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 62080
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, pet_store, gelateria, music_store, florist, gym : 47209
Saved path: music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pet_store, bank : 61473
Saved path: grocery_store, dentist, music_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, burger_joint, bookstore, cafe, tech_shop : 65840
Saved path: pharmacy, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bike_shop, bakery : 53106
Saved path: tech_shop, cafe, hardware_store, gym, craft_shop, florist, music_store, bank, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, grocery_store : 62858
Saved path: jewelry_store, bike_shop, pharmacy, music_store, florist, gym, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, clothing_store, noodle_house, barber_shop : 59582
Saved path: hardware_store, gym, craft_shop, pet_store, bank, bakery, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint : 70172
Saved path: dentist, pizzeria, grocery_store, noodle_house, barber_shop, bakery, party_store, jewelry_store, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe : 61024
Saved path: bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, clothing_store, grocery_store, tech_shop, dentist, craft_shop, music_store, pharmacy : 56440
Saved path: hardware_store, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, gelateria, music_store, bakery, party_store : 60119
Saved path: bank, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, gym, hardware_store, bakery, jewelry_store, music_store : 64746
Saved path: music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, bookstore, cafe, grocery_store, tech_shop, pizzeria : 59792
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, hardware_store, bike_shop, jewelry_store : 69915
Saved path: pharmacy, gelateria, music_store, craft_shop, gym, hardware_store, bookstore, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 57146
Saved path: burger_joint, toy_store, noodle_house, clothing_store, tech_shop, dentist, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store : 61429
Saved path: gym, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, gelateria, jewelry_store, party_store : 59520
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, cafe, burger_joint, gym, pizzeria, music_store, bank, gelateria, pharmacy, bakery : 65255
Saved path: cafe, burger_joint, bookstore, craft_shop, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop : 63111
Saved path: gym, bike_shop, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store : 51057
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, music_store, bank, gelateria, craft_shop : 67356
Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, dentist, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store : 57776
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store, florist, gelateria, music_store, bike_shop, barber_shop, toy_store, noodle_house : 56946
Saved path: jewelry_store, bakery, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria : 63602
Saved path: bank, music_store, florist, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, gym, pet_store, gelateria : 58994
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, bakery, party_store, pharmacy, gelateria, bank, florist, pet_store : 64606
Saved path: salon, noodle_house, clothing_store, pizzeria, craft_shop, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, burger_joint : 67502
Saved path: jewelry_store, bike_shop, bakery, gelateria, bank, pet_store, gym, hardware_store, burger_joint, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop : 71217
Saved path: florist, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store, salon, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop : 62153
Saved path: clothing_store, noodle_house, barber_shop, bakery, party_store, music_store, florist, pet_store, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop : 60189
Saved path: bank, music_store, pharmacy, party_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house, grocery_store, bookstore, pizzeria, craft_shop, florist, gelateria : 65677
Saved path: party_store, jewelry_store, bike_shop, bakery, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, noodle_house, salon, hardware_store : 66538
Saved path: florist, gelateria, bank, music_store, pharmacy, bakery, party_store, hardware_store, gym, burger_joint, cafe, clothing_store, tech_shop, pizzeria, craft_shop : 54801
Saved path: hardware_store, gym, pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, tech_shop, cafe, burger_joint : 64322
Saved path: gym, florist, bank, pet_store, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 70584
Saved path: bookstore, dentist, craft_shop, florist, bank, pet_store, gym, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint : 66164
Saved path: burger_joint, gym, hardware_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, salon, toy_store : 61506
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, bike_shop, jewelry_store, salon, noodle_house, clothing_store, burger_joint, bookstore : 65303
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, burger_joint, clothing_store, grocery_store, tech_shop : 66611
Saved path: music_store, gelateria, pharmacy, barber_shop, jewelry_store, party_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, florist : 57217
Saved path: cafe, bookstore, burger_joint, gym, pet_store, florist, pharmacy, bakery, party_store, bike_shop, salon, noodle_house, clothing_store, pizzeria, dentist : 58096
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, party_store, bakery, gelateria, craft_shop, gym, hardware_store : 57063
Saved path: pharmacy, bakery, party_store, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, dentist, pizzeria, craft_shop, pet_store, music_store : 60660
Saved path: clothing_store, cafe, burger_joint, gym, hardware_store, salon, barber_shop, bakery, jewelry_store, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop : 68419
Saved path: bank, florist, pet_store, craft_shop, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy : 63971
Saved path: party_store, jewelry_store, salon, toy_store, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym : 71233
Saved path: tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, barber_shop, bike_shop, party_store, bank, florist, pet_store, craft_shop, pizzeria, dentist : 67866
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, toy_store : 60766
Saved path: gelateria, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, toy_store, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, bank : 64116
Saved path: bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, music_store, gelateria, florist, craft_shop, gym, burger_joint : 45569
Saved path: jewelry_store, party_store, bike_shop, bakery, gelateria, music_store, florist, pet_store, pizzeria, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon : 60403
Saved path: pharmacy, bakery, hardware_store, salon, toy_store, clothing_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank : 56629
