Saved path: barber_shop, hardware_store, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon : 59843
Saved path: hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, bakery, party_store, music_store, craft_shop, gym : 56566
Saved path: gym, hardware_store, salon, barber_shop, jewelry_store, bike_shop, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint : 70785
Saved path: gelateria, music_store, florist, pet_store, craft_shop, gym, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery : 48113
Saved path: party_store, bike_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, bank, gelateria, pharmacy, bakery : 63031
Saved path: toy_store, salon, barber_shop, bike_shop, pharmacy, bank, florist, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym : 60638
Saved path: salon, noodle_house, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, music_store, pharmacy, bakery, bike_shop, barber_shop : 52083
Saved path: burger_joint, gym, craft_shop, gelateria, bank, music_store, pharmacy, party_store, barber_shop, toy_store, clothing_store, tech_shop, dentist, cafe, bookstore : 62351
Saved path: bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, salon, toy_store, gym, bakery, pharmacy : 58563
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, hardware_store, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop : 54292
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, gym, craft_shop, pizzeria, dentist, cafe, tech_shop : 58729
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, florist, music_store : 70922
Saved path: clothing_store, tech_shop, cafe, burger_joint, gym, craft_shop, florist, music_store, bank, pharmacy, bike_shop, hardware_store, toy_store, salon, noodle_house : 52487
Saved path: gym, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, barber_shop, toy_store, clothing_store, cafe, burger_joint, hardware_store : 63773
Saved path: bank, gelateria, pharmacy, bakery, bike_shop, gym, toy_store, salon, noodle_house, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store : 59494
Saved path: burger_joint, hardware_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, florist, pet_store, bookstore : 58059
Saved path: craft_shop, florist, music_store, pharmacy, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, bookstore, hardware_store, gym, pizzeria : 56791
Saved path: bookstore, cafe, dentist, pizzeria, gym, music_store, bank, gelateria, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 69502
Saved path: toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank, bike_shop, barber_shop : 60506
Saved path: clothing_store, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, burger_joint, toy_store, salon, noodle_house : 54489
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, pet_store, florist, music_store, jewelry_store, barber_shop, salon : 64373
Saved path: tech_shop, pizzeria, florist, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe : 52983
Saved path: pizzeria, craft_shop, pet_store, florist, bank, pharmacy, jewelry_store, barber_shop, toy_store, hardware_store, gym, bookstore, cafe, tech_shop, dentist : 73423
Saved path: barber_shop, toy_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store : 71563
Saved path: pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, bakery, pharmacy, bank, florist, craft_shop : 58651
Saved path: bike_shop, jewelry_store, bakery, bank, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 68327
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, pet_store, gym, hardware_store : 59941
Saved path: pet_store, florist, gelateria, bank, music_store, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist : 63775
Saved path: clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, bank, pharmacy, bakery, party_store, bike_shop, barber_shop : 63538
Saved path: clothing_store, grocery_store, cafe, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist : 56625
Saved path: burger_joint, gym, pet_store, florist, bank, bakery, bike_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore : 64726
Saved path: bakery, gym, burger_joint, bookstore, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 56329
Saved path: craft_shop, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, dentist, bookstore, burger_joint, gym : 56987
