Saved path: salon, barber_shop, bike_shop, music_store, bank, florist, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, gym, toy_store : 62255
Saved path: jewelry_store, party_store, bakery, bank, pet_store, gym, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 70617
Saved path: tech_shop, clothing_store, salon, barber_shop, bike_shop, bakery, bank, gelateria, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria : 60758
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store : 59446
Saved path: pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, gelateria, bank, florist, gym, hardware_store, cafe, dentist : 70420
Saved path: gelateria, bike_shop, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bank : 70590
Saved path: burger_joint, hardware_store, gym, craft_shop, florist, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, grocery_store, tech_shop : 56117
Saved path: salon, noodle_house, toy_store, hardware_store, gym, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, barber_shop : 52866
Saved path: tech_shop, burger_joint, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria : 59400
Saved path: pizzeria, dentist, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, jewelry_store, party_store, bakery, barber_shop, gelateria, florist, pet_store, craft_shop : 61345
Saved path: party_store, jewelry_store, bike_shop, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, music_store, bank, gelateria, pharmacy : 60554
Saved path: cafe, bookstore, hardware_store, gelateria, bank, music_store, bike_shop, party_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist : 63577
Saved path: bike_shop, jewelry_store, party_store, barber_shop, salon, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, music_store : 63177
Saved path: gym, gelateria, music_store, pharmacy, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore : 57379
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, gelateria, florist, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store : 58403
Saved path: bike_shop, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, barber_shop, jewelry_store : 69832
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy : 63288
Saved path: music_store, florist, pet_store, craft_shop, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store : 58940
Saved path: florist, gelateria, pharmacy, bakery, party_store, jewelry_store, burger_joint, cafe, bookstore, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 50953
Saved path: pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, cafe, clothing_store, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery : 53181
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, hardware_store, party_store, bike_shop, bakery, gelateria, bank : 59588
Saved path: pet_store, gelateria, pharmacy, bakery, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 49137
Saved path: salon, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, florist, music_store, bank, gelateria, pharmacy, party_store, bike_shop, gym, toy_store : 64692
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, salon, jewelry_store, bakery, hardware_store, gym, florist, gelateria, bank : 67395
Saved path: pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop, bakery, music_store, gelateria, craft_shop : 47788
Saved path: hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy, barber_shop, toy_store, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint : 48993
Saved path: barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, hardware_store, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, jewelry_store : 65953
Saved path: burger_joint, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, toy_store : 65468
Saved path: florist, pet_store, craft_shop, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, bank : 64485
Saved path: pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, bank, music_store, craft_shop, gym, hardware_store, bookstore, dentist : 63029
Saved path: bank, gelateria, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, cafe, bookstore, noodle_house, clothing_store, grocery_store, pizzeria, florist : 61765
Saved path: bakery, party_store, bike_shop, gym, burger_joint, bookstore, cafe, tech_shop, clothing_store, dentist, pet_store, gelateria, bank, music_store, pharmacy : 59606
Saved path: bank, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop, florist, gelateria : 64924
Saved path: tech_shop, bookstore, gym, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 64813
Saved path: grocery_store, bookstore, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bakery, gym, hardware_store, salon, toy_store : 68508
Saved path: bank, music_store, pharmacy, bike_shop, gym, burger_joint, toy_store, salon, clothing_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria : 56793
Saved path: tech_shop, clothing_store, salon, barber_shop, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, pizzeria : 59698
Saved path: pizzeria, tech_shop, noodle_house, toy_store, barber_shop, bakery, jewelry_store, gelateria, music_store, florist, gym, hardware_store, bookstore, cafe, dentist : 62490
Saved path: clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store : 60330
Saved path: pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 63768
Saved path: bank, music_store, jewelry_store, party_store, bakery, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, pet_store, florist, gelateria : 64831
Saved path: party_store, bakery, pharmacy, music_store, bank, florist, pet_store, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store, salon : 65039
Saved path: music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, barber_shop, party_store, jewelry_store : 59758
Saved path: gym, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, florist : 51096
Saved path: cafe, bookstore, burger_joint, gym, florist, gelateria, music_store, pharmacy, party_store, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, dentist : 56375
Saved path: barber_shop, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 62293
Saved path: salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop : 64818
Saved path: florist, pet_store, pizzeria, dentist, clothing_store, salon, toy_store, burger_joint, gym, hardware_store, party_store, bike_shop, pharmacy, music_store, bank : 69098
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, gym, bike_shop : 62510
Saved path: barber_shop, bike_shop, jewelry_store, party_store, gelateria, bank, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store : 73150
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store : 61043
Saved path: burger_joint, toy_store, salon, barber_shop, bakery, hardware_store, gym, florist, music_store, bank, gelateria, pet_store, dentist, cafe, bookstore : 58404
Saved path: bank, gelateria, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery : 65478
Saved path: gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop : 50473
Saved path: tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, clothing_store, grocery_store : 55134
Saved path: noodle_house, grocery_store, bookstore, burger_joint, dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, salon, toy_store : 63470
Saved path: toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, noodle_house : 68400
Saved path: cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy, music_store, florist, pet_store, gym, hardware_store, bookstore : 59820
Saved path: barber_shop, pharmacy, music_store, bank, florist, pet_store, gym, hardware_store, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon : 59546
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, gelateria, bank : 66149
Saved path: toy_store, salon, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, dentist, cafe, bookstore, gym : 66379
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, music_store, jewelry_store, party_store, barber_shop, toy_store : 64227
Saved path: noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, gym, florist, gelateria, bank, music_store, bike_shop, jewelry_store, barber_shop, toy_store : 67394
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, gym, pet_store, gelateria, bank, music_store, florist, pizzeria, dentist, tech_shop, clothing_store : 71833
Saved path: pizzeria, craft_shop, pet_store, gelateria, music_store, gym, hardware_store, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, cafe : 65457
Saved path: hardware_store, gym, toy_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bakery, bike_shop, jewelry_store, party_store : 57254
Saved path: salon, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, florist, gym, pizzeria, dentist, cafe, bookstore, burger_joint, noodle_house : 66460
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, gym, hardware_store : 59331
Saved path: bakery, bike_shop, party_store, hardware_store, burger_joint, bookstore, clothing_store, dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy : 60996
Saved path: music_store, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, barber_shop : 67189
Saved path: gym, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store : 48825
Saved path: toy_store, barber_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store : 70430
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, clothing_store, noodle_house, salon, hardware_store, gym : 65996
