Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, pizzeria, dentist, bookstore, gym, hardware_store, toy_store, clothing_store : 74288
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, bank, florist, gym, craft_shop, pizzeria, dentist, tech_shop : 58453
Saved path: jewelry_store, party_store, bakery, pharmacy, hardware_store, craft_shop, pizzeria, tech_shop, clothing_store, cafe, burger_joint, toy_store, salon, barber_shop, bike_shop : 54208
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, bike_shop, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe : 44877
Saved path: music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, barber_shop, jewelry_store, bike_shop, pharmacy, bank : 66545
Saved path: grocery_store, clothing_store, noodle_house, toy_store, bakery, gym, florist, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop : 56995
Saved path: clothing_store, toy_store, salon, jewelry_store, party_store, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, burger_joint, bookstore, grocery_store : 68317
Saved path: bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, pet_store, florist, music_store, bike_shop, hardware_store, burger_joint : 56761
Saved path: salon, noodle_house, toy_store, hardware_store, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, music_store, bike_shop, party_store, jewelry_store, barber_shop : 63168
Saved path: bike_shop, gelateria, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bakery, party_store, jewelry_store : 55683
Saved path: noodle_house, salon, jewelry_store, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, gym, bookstore, pizzeria, tech_shop, grocery_store, clothing_store : 69325
Saved path: cafe, burger_joint, bookstore, grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria : 64719
Saved path: bakery, pharmacy, gelateria, bank, music_store, florist, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store : 57790
Saved path: gym, toy_store, clothing_store, grocery_store, burger_joint, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, florist, pet_store : 59944
Saved path: party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery : 52071
Saved path: bookstore, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, bank, florist, pet_store, craft_shop, gym, burger_joint : 69286
Saved path: bookstore, hardware_store, gym, pet_store, florist, bank, music_store, pharmacy, bakery, barber_shop, salon, clothing_store, pizzeria, dentist, cafe : 63395
Saved path: bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, jewelry_store, florist, craft_shop, pizzeria, dentist, cafe : 55838
Saved path: burger_joint, gym, hardware_store, bike_shop, jewelry_store, gelateria, florist, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, salon, toy_store, bookstore : 63103
Saved path: jewelry_store, bike_shop, pharmacy, bank, music_store, florist, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store : 63753
Saved path: burger_joint, dentist, craft_shop, florist, music_store, bike_shop, party_store, bakery, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 50212
Saved path: pet_store, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, bike_shop, bakery, pharmacy, music_store, bank : 59643
Saved path: pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bakery : 46012
Saved path: florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store : 58107
Saved path: bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, party_store : 64463
Saved path: bike_shop, bakery, pharmacy, bank, florist, pet_store, gym, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, jewelry_store : 64971
Saved path: burger_joint, bookstore, tech_shop, pizzeria, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store : 62376
Saved path: dentist, pizzeria, florist, bank, gelateria, bike_shop, bakery, barber_shop, salon, noodle_house, toy_store, gym, burger_joint, bookstore, cafe : 61051
Saved path: gym, florist, gelateria, bank, pet_store, pizzeria, dentist, tech_shop, cafe, burger_joint, toy_store, noodle_house, barber_shop, bakery, bike_shop : 63114
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, party_store, gym, toy_store : 58471
Saved path: grocery_store, tech_shop, cafe, bookstore, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery, music_store, gelateria, pet_store, dentist : 62591
Saved path: noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, tech_shop, bookstore, clothing_store : 61323
Saved path: gelateria, music_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, pet_store : 56802
Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store : 65447
Saved path: gym, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore : 66339
Saved path: pizzeria, dentist, cafe, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, bank, music_store, craft_shop : 62790
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, grocery_store, cafe, burger_joint, gym : 60298
Saved path: music_store, bank, gelateria, jewelry_store, barber_shop, salon, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, florist : 70375
Saved path: tech_shop, grocery_store, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, gelateria, florist, craft_shop, gym, hardware_store, bookstore, dentist : 66634
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, pet_store, bank, pharmacy, party_store, jewelry_store, bike_shop : 71899
Saved path: dentist, tech_shop, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, hardware_store, burger_joint, bookstore, pet_store, bank, music_store, florist : 63018
Saved path: toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, bakery, gym : 58896
Saved path: barber_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, bookstore, cafe, tech_shop, noodle_house, toy_store, salon : 57566
Saved path: bakery, party_store, bike_shop, gym, salon, bookstore, cafe, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy : 65709
Saved path: pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store, hardware_store, barber_shop, jewelry_store, bike_shop, bakery : 67984
Saved path: florist, gym, hardware_store, burger_joint, dentist, pizzeria, grocery_store, toy_store, salon, barber_shop, party_store, pharmacy, gelateria, bank, music_store : 66002
Saved path: bike_shop, barber_shop, toy_store, noodle_house, clothing_store, bookstore, hardware_store, gym, pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store : 62781
Saved path: salon, toy_store, clothing_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, craft_shop, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 58211
Saved path: craft_shop, pet_store, bank, gelateria, bike_shop, party_store, burger_joint, toy_store, salon, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria : 64242
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store, toy_store, clothing_store, grocery_store : 59035
Saved path: barber_shop, salon, tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, florist, music_store, gelateria, party_store, jewelry_store, bike_shop : 64332
Saved path: bank, music_store, pharmacy, bakery, party_store, barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, pet_store : 63039
Saved path: cafe, grocery_store, dentist, pizzeria, pet_store, music_store, bakery, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore : 62048
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 60935
Saved path: bakery, bike_shop, hardware_store, salon, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, florist, bank, music_store, pharmacy : 55205
Saved path: clothing_store, toy_store, gym, hardware_store, bakery, bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store : 50780
Saved path: bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, bike_shop, pharmacy, music_store, bank, gelateria, gym, burger_joint : 60766
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, craft_shop, gym, hardware_store, dentist : 58834
Saved path: cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, bank, music_store, florist, pet_store, craft_shop, gym : 64054
Saved path: gym, toy_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, tech_shop, bookstore, burger_joint : 69690
Saved path: noodle_house, toy_store, burger_joint, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon : 59581
