Saved path: cafe, burger_joint, bookstore, craft_shop, pet_store, florist, bank, pharmacy, party_store, bakery, barber_shop, salon, toy_store, clothing_store, tech_shop : 60460
Saved path: pet_store, gelateria, bakery, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop : 51122
Saved path: gym, burger_joint, bookstore, dentist, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, toy_store : 66661
Saved path: florist, gelateria, bank, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, tech_shop, dentist, cafe, burger_joint, gym, craft_shop : 65210
Saved path: burger_joint, tech_shop, noodle_house, salon, toy_store, hardware_store, bike_shop, party_store, bakery, music_store, gelateria, florist, pet_store, craft_shop, bookstore : 55331
Saved path: party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, clothing_store, toy_store, hardware_store : 53935
Saved path: salon, noodle_house, tech_shop, bookstore, burger_joint, gym, craft_shop, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop : 59058
Saved path: burger_joint, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store : 67540
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, barber_shop, bike_shop, party_store, bakery, gelateria, bank, music_store, florist : 63166
Saved path: bike_shop, bakery, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, salon, barber_shop, jewelry_store : 69412
Saved path: burger_joint, bookstore, dentist, tech_shop, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, gym : 67385
Saved path: gym, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store : 71610
Saved path: craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, gym, florist, music_store, gelateria, pet_store : 61072
Saved path: salon, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, bakery, party_store, hardware_store : 57759
Saved path: noodle_house, clothing_store, grocery_store, cafe, dentist, pet_store, florist, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 60210
Saved path: cafe, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, bookstore : 63485
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, gym, toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint : 58825
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank : 71574
Saved path: florist, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, gym, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop : 59924
Saved path: grocery_store, barber_shop, jewelry_store, party_store, bike_shop, gelateria, bank, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop : 68607
Saved path: bakery, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, grocery_store, dentist, craft_shop, pet_store, gelateria, bank, music_store : 59424
Saved path: toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, florist, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, hardware_store : 66529
Saved path: gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint : 52859
Saved path: gelateria, pharmacy, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist : 60131
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop : 65310
Saved path: noodle_house, salon, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, clothing_store : 63516
Saved path: gelateria, pharmacy, bakery, jewelry_store, barber_shop, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank : 64466
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, gym : 59350
Saved path: gelateria, bank, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop : 69852
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, hardware_store, pharmacy, bakery : 52171
Saved path: craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bakery, pharmacy, music_store, bank, pet_store : 64201
Saved path: pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store : 55647
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, salon, noodle_house, grocery_store, tech_shop, bookstore, gym : 63761
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, pizzeria, craft_shop, gelateria : 63111
Saved path: cafe, tech_shop, grocery_store, toy_store, salon, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 63166
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, salon, toy_store, gym, pet_store, gelateria, music_store, florist, craft_shop : 48913
Saved path: bank, gelateria, jewelry_store, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pet_store : 66168
Saved path: party_store, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, bakery : 56301
Saved path: bank, music_store, pharmacy, bakery, party_store, bike_shop, salon, clothing_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, pet_store : 67517
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria, pharmacy, jewelry_store, bakery, gym, burger_joint, bookstore : 49662
Saved path: burger_joint, gym, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria, clothing_store, noodle_house, salon, toy_store : 69521
Saved path: pet_store, craft_shop, pizzeria, dentist, burger_joint, grocery_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist : 68646
Saved path: barber_shop, bakery, pharmacy, music_store, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 53295
Saved path: music_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, burger_joint, dentist, pizzeria, pet_store, florist : 66500
Saved path: noodle_house, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, gym, hardware_store, bookstore, cafe : 58832
Saved path: bookstore, cafe, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, gym : 57665
Saved path: burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store : 58386
Saved path: jewelry_store, party_store, bakery, gelateria, bank, pet_store, gym, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 62950
Saved path: florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store : 63069
Saved path: bike_shop, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, party_store : 54818
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, pharmacy : 57431
Saved path: music_store, florist, pet_store, gym, burger_joint, bookstore, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy : 62033
Saved path: pharmacy, bank, music_store, hardware_store, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store : 69131
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, grocery_store, pizzeria, craft_shop, gym, florist, music_store, bank : 67689
Saved path: clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, florist, bank, music_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store : 64488
